Tweet,unnecessary,mandatory,pharma,conspiracy,political,country,rushed,ingredients,side-effect,ineffective,religious,none
"@JoySwan12 @HempleLouise I'm a flat earth anti vaxxer. I couldn't give a toss about the Queen, though. I see the brainwashed government lovers getting upset that the open minded, critical thinkers are able to voice their opinions (reasonable and widely shared).",1,0,0,0,1,0,0,0,0,0,0,0
"@Kolesnikoff @dcexaminer So, you are going to turn those who actually have serious allergies to vaccine components into social lepers? Not all unvaccinated people are by choice. Since 'undocumented immigrants' are also often undocumented in terms of their vaccinations, I assume you're including them.",0,1,0,0,0,0,0,0,0,0,0,0
@David13353252 Vaccine related??? I am beginning to think the elderly should not have at all.,0,0,0,0,0,0,0,0,0,0,0,1
AstraZeneca's COVID Jab Should Be Halted For People Over 60: EMA | ZeroHedge EMA safety committee on Friday said that capillary leak syndrome is a new side effect after taking AstraZeneca's vaccine https://t.co/cbbuLJvrZq,0,0,0,0,0,0,0,0,1,0,0,0
Yeah I’m not taking a rushed vaccine until we see how many people it kills. I am fine staying in my house away from people #RussianVaccine,0,0,0,0,0,0,1,0,0,0,0,0
@mezucchini bill gates it goingnto put it back in with his corona virus vaccine nice try,0,0,1,1,0,0,0,0,0,0,0,0
@NVICLoeDown 🌈 Sweden banned the use of masks when Covid started “unless you had a note from a doctor stating you had Covid-19.” No kids died. Only people over 70 w obesity or other deadly disease died. ❤️Sweden proved vaccines are unnecessary. ❤️Write-in Paul Kangas 4 President.,1,0,0,0,0,0,0,0,0,0,0,0
Covid vaccine horror as 23 people suddenly DIE after Pfizer jab after ‘side effects’ | World | News https://t.co/UDXNIiws7y,0,0,0,0,0,0,0,0,1,0,0,0
"@dsizzo @MichaelBalcom1 @Kamou10 @AP You do know that after being vaccinated, you can still be a carrier just like the person that didn’t get vaccinated, so why should they be restrained and not you? You being vaccinated doesn’t protect others from catching Covid from you🤷🏾‍♂️",0,0,0,0,0,0,0,0,0,1,0,0
"So 3,150 out 112,807 people who rec'd vaccine or 2.8% were ""incapacitated"" after 1st shot (i.e., unable to perform normal daily activities, unable to work, required care from doctor or health care professional). How does that compare to COVID death rate of people <60 yrs old?",0,0,0,0,0,0,0,0,1,0,0,0
I couldn't believe what I was reading. This is my state. There is no way in hell I'd take any vaccine for covid. I don't take any of them.,0,0,0,0,0,0,0,0,0,0,0,1
"@RobertW31430731 @pfizer Is this vaccine for real or just some get-rich quick scheme of the Trumps ? Is Ivanka raking in millions from Pfizer stock ? I do not trust anything that comes from, through or near the Trump administration.",0,0,0,0,1,0,0,0,0,0,0,0
@BBCNews NO. You know as well as we all do that all this vaccine does is lessen the symptoms of the virus - you don't mention that it could cause repercussions on other viruses as the bodies own immune system can be weakened by the Pfizer vaccine - all in the public domain.,0,0,0,0,0,0,0,0,1,1,0,0
@WilliamShatner The vaccine was tested before being released.  I’m not taking any vaccine for Covid-19 until they thoroughly test it.  I was young but remember the horrific outcome of that vaccine.  Locally hundreds died but thousands died elsewhere.  Sad.,0,0,0,0,0,0,1,0,0,0,0,0
@Leighspc @J741258 @AlexBerenson @pfizer Do tell - how many of the people who’ve already gotten the vaccine have died?,0,0,0,0,0,0,0,0,1,0,0,0
"Check out Pfizer's wonderful record of service to humanity. Oh, and it's $BILLIONS paid out in fines for malpractice and malfeasance. https://t.co/AmKnqn2YA2",0,0,1,0,0,0,0,0,0,0,0,0
"The Covaxin recipient, a man in his late 60s (also with no COVID-19 comorbidities), died from complications of COVID-19. https://t.co/U1iAw9kMf1",0,0,0,0,0,0,0,0,1,0,0,0
"Now Johnson n Johnson got a fucking single shot vaccine , Foh",0,0,0,0,0,0,0,0,0,0,0,1
@keirshiels @marcuschown What is the point exactly - Pfizer itself says the vaccine is useless if the 2nd jab isn't given within the correct time frame or are you 2nd vaccinating your elderly frail patients?,0,0,0,0,0,0,0,0,0,1,0,0
"@pcrclaims Nightingales reserved for theatre of war. AI will hide side-effects/vaccine injuries (cv vax). But many cld collapse public (narcolepsy/spinal paralysis=side-effects).Wld be declared 'covid', prison in nightingales. MSM lies, public 👋 lies. Showers w/o water",0,0,0,0,0,0,0,0,1,0,0,0
@saadpb @BoobyJargon @AnjKhem My Dad died after the Modern vaccine. Organs started shutting down. Doctor said no real proof it was the vaccine. He has covid in August. He should not have gotten it. He would still be alive had he not taken it.,0,0,0,0,0,0,0,0,1,0,0,0
@Andrea62928413 @StorkBoris @M13kyD I think he was told he was being given the vaccine (small fee taken) when in fact it was some whoopy woo stuff. Next he'll be complaining of the after effects (or come down!). Later he'll be requesting his second shot.,0,0,0,0,0,0,0,0,0,1,0,0
If the vaccines work like they say then why does it matter if a few people don’t have it? If they don’t have it and get covid then it’s on them but it should be THEIR choice? Meanwhile everybody else who has the vaccine will be fine? Utterly utterly absurd,0,1,0,0,0,0,0,0,0,0,0,0
"#VAERS 50y♀️#Moderna #CovidVaccine #Gangrene #Amputation #Thrombosis ""reported by a consumer (subsequently medically confirmed) ... occurrence of THROMBOSIS (Blood clots), THROMBECTOMY (two clots were removed), GANGRENE ... and LEG AMPUTATION"" https://t.co/qBVrLcJyM9",0,0,0,0,0,0,0,0,1,0,0,0
@RichAlexander20 @revolutino @united If they're so safe then why do the pharmaceutical companies have measures in place that protects them from being sued in the event the vaccine doesn't work as promised. It seems that United is setting themselves up for potential employee lawsuits in the future. Not smart .,0,0,0,0,0,0,0,0,0,1,0,0
@QuickTake I will never take a Covid test nor the vaccine. Covid is being used as a political football and I will have no part of it.,0,0,0,0,1,0,0,0,0,0,0,0
"@MaxduPreez 1. The way I understand it is not that simple. Pfizer vaccine not the best for us because must remain frozen in transport and we are far away. Also, it now shows allergic reaction 10x more than other vaccines (acc to Barry Schoub).",0,0,0,0,0,0,0,0,1,0,0,0
"Catholics should avoid Johnson & Johnson’s vaccine if other options are available, official U.S. group says https://t.co/jhneH7m8a3 https://t.co/PSAqGwttcH",0,0,0,0,0,0,0,0,0,0,1,0
"Moderna and Pfizer cannot be sued if vaccine side effects is severe, in other words you're on your own if you get vaccinated, I rather be on my own without it, thank you much!!!!",0,0,1,0,0,0,0,0,1,0,0,0
Death of Ukrainian servicewoman after vaccination caused by acute circulatory disorders #AstraZeneca https://t.co/EF6KwBYfsf,0,0,0,0,0,0,0,0,1,0,0,0
"@odvjetnik1 @elonmusk COVID is a scam so big pharma can make money, like the swine flu scandale in 2009 same shit over again. It is a politicized virus. You aware 99.98% survive COVID? Why would you need a risky vaccine that hasn't been used on humans before?",1,0,1,0,0,0,1,0,0,0,0,0
@DrNancyM_CDC It is unlikely that covid vaccines will have much impact on epidemics. The efficacy reports on most vaccines are fake statistics. Pfizer's vaccine is known to have side effects that can be worse than covid. https://t.co/4jpN1pOuR7,0,0,0,0,0,0,1,0,1,0,0,0
@joelockhart Politicians not science run the show! All public trust for any treatment vaccine will be destroyed,0,0,0,0,0,0,0,0,1,0,0,0
love not being vaccinated yet💉🤣💉 this family went to disney world for spring break btw https://t.co/57y3WmE53h,0,0,0,0,0,0,0,0,0,0,0,1
"@Ccressman87 @DeniseE100 @CTVToronto We need to start asking those in charge ,if most Covid cases are mild/assymptomatic and majority of deaths are in care homes, why all the extra public health measures, social distancing , ppe and vaccine propaganda? Ask about herd and natural immunity vs vaccine immunity?",1,0,0,0,0,0,0,0,0,0,0,0
"@paulvieira I'd love to see the results of ""Covid Vaccine Deaths & Complications"" plugged into that same covid case modelling software!",0,0,0,0,0,0,0,0,1,0,0,0
@PritchardGriff2 It upsets me to see all these vulnerable human beings having this unknown vaccine. And like you say i bet they were never told before hand that they will still be in the same position even after having it. And yes where is the cleanliness protocol 🤦🏼‍♀️😢,0,0,0,0,0,0,0,0,0,1,0,0
I’ve been flat out declining Pfizer vaccine after seeing two peoples side effects. I was offered Oxford yesterday but declined it as I know of a lot of people who have had even worse side effects than Pfizer. Luckily my manager was cool with it and said it’s my choice.,0,0,0,0,0,0,0,0,1,0,0,0
COVID IS REALLY AN INTELLIGENCE TEST HOW CAN ANYBODY BE STUPID ENOUGH TO THINK OVERNIGHT EVERYBODY IN THE ENTIRE WORLD IS SICK & NEEDS TESTING MASKS & VACCINES? MOST PEOPLE WHO TEST POSITIVE FEEL FINE & ARE NOT SICK WHAT A FEAR PSYOP ON HUMAN RACE EVERYONE IS BRAINWASHED SO SAD https://t.co/BD1gABClEW,0,1,0,0,0,0,0,0,0,0,0,0
@JamesMartinSJ Pfizer has been given legal protection if anything goes wrong with the vaccine so why would they fight for that if they were so sure that it does what they say it does people see through it and will not be taking it and I don't think MSM realizes that,0,0,1,0,0,0,0,0,0,0,0,0
California Woman Who Got Both Moderna Vaccine Shots Dies of COVID-19: Officials - The Epoch Times https://t.co/qRsdQZpqA8,0,0,0,0,0,0,0,0,0,1,0,0
"Reported Vaccine Injuries Continue to Climb, Pfizer Seeks Full Approval for COVID Vaccine • Children's Health Defense https://t.co/FUoIkVBAMK",0,0,0,0,0,0,0,0,1,0,0,0
"Is pfizer really testing their vaccine on infants? 🤔 As a parent, I would never allow that.😣",0,0,0,0,0,0,1,0,0,0,0,0
"Pfizer COVID Vaccine Linked to Rare Blood Clot Disorder, Israeli Researchers Say Israeli researchers on Monday said they discovered a link between Pfizer’s COVID vaccine and thrombotic thrombocytopenic purpura (TTP), a rare blood disease. Scientists wi… https://t.co/kMKDeHz9ks",0,0,0,0,0,0,0,0,1,0,0,0
"@WMN4SRVL @washingtonpost He seems pretty credible to me. Cui bono, if we go with your sources? Look at what he says about animals showing high incidence of respiratory failure AFTER being vaccinated. He asks whether Chinese had been subjected to vaccine trials. #Coronavirus https://t.co/FWO9rfSonk",0,0,0,0,0,0,0,0,1,0,0,0
#FordNation's critics (*cough* Liberals) are blaming the provincial government for halting #AstraZeneca vaccine rollout in the province So they want to continue using a vaccine that causes #bloodclots 🙄 #Ontario is the only province to halt the use of this inferior vaccine,0,0,0,0,1,0,0,0,1,0,0,0
Employer called an asked was I gettin the Covid Vaccine. Be a big hell no for me,0,0,0,0,0,0,0,0,0,0,0,1
@POTUS Infertility through vaccination? Read this revealing article. Press the link! https://t.co/ugxfNATLIG @RoyalFamily @KensingtonRoyal @CasaReal @CourGrandDucale @Kronprinsparet @KingAbdullahII @KremlinRussia_E @JustinTrudeau #COVID19Vaccine #Covid19UK #Israel https://t.co/J4QVJG5F43,0,0,0,0,0,0,0,0,1,0,0,0
"@glennmul @MomoStJohn You realise three six month trials in different countries doesn't add up to eighteen months worth of follow up, right? Even the recent FDA approval letter for the Pfizer vaccine states that various standard safety trials are still required to be completed in 2023 and 2024.",0,0,0,0,0,0,1,0,0,0,0,0
"So with common sense, if the virus they have no cures for they put in your body thru vaccination lies dormant, where is it going? Its regenerating itself, much like how you do when you sleep then wake up. A virus they putting in you that has no cure. Where is the virus going?",0,0,0,0,0,0,0,0,0,1,0,0
"This is not the first time a medical professional had an allergic reaction to one of these newer mRNA vaccines. Earlier this month, the Post reported 5 people in the US had allergic reactions after Pfizer shot: https://t.co/CjNSp2z3k5",0,0,0,0,0,0,0,0,1,0,0,0
"@BBCPolitics This statement is ridiculous, unless the vaccine is to be rolled out without proper testing for safety. There could well be more people die from side effects of the vaccine than are saved from Covid.",0,0,0,0,0,0,1,0,1,0,0,0
@SaraCureton Pfizer is a dodgy outfit so any vaccine from them is not trustworthy.,0,0,0,0,0,0,0,0,0,1,0,0
"@jimmy31922581 @MaryamHenein Everyone has to keep retweeting this message - the public are being coerced into being part of an experiment that could kill, disable or make them infertile. The vax does not prevent infection & no guarantees of safety are given by the manufacturer. All on Pfizer's own web site.",0,0,0,0,0,0,1,0,1,1,0,0
"of reactions were observed with the Moderna vaccine, it could be speculated that it could be linked to a common ingredient between the 2 vaccines, referring particularly to polyethylene glycol (PEG), which is used in the lipid nanoparticules (LNP= mRNA carrier). There has been",0,0,0,0,0,0,0,1,0,0,0,0
"Dear Pfizer, Since we all know this covid nonsense has everything to do with generating revenue and nothing to do with safety (at best, at worst who the fuck knows what the drug does), why not just give us an option of $50 payment to exempt out of your asylum nightmare.",0,0,1,0,0,0,0,0,0,0,0,0
"@LBC @MiriamStoppard can you stop going on and on about vaccines in your daily mirror column. You are part of the propaganda, after Oxford vaccine my brother became ill with Bell’s palsy and extreme ear pain. Known side effect. Look into this?",0,0,0,0,0,0,0,0,1,0,0,0
@cnnbrk Ahh it’s because he has his heart set on the Russian vaccine. Gook luck with that and the chips Russia will implant into you..lol,0,0,0,1,0,1,0,1,0,0,0,0
"I will NEVER take any Covid-19 vaccine: AstraZeneca trial paused due to ""unexplained illness.""",1,0,0,0,0,0,0,0,1,0,0,0
A vaccine a substance used to stimulate the production of antibodies & PROVIDES IMMUNITY against diseases.  Guys a vaccine provides what? ACTIVE IMMUNITY..  But the coronavirus vaccine can’t make you immune from contracting the virus..  Please define USELESS for me again..,0,0,0,0,0,0,0,0,0,1,0,0
I am afraid that Tiffany Dover is unfortunately dead after the Covid Vaccine -  https://t.co/NnMQFWJXOi,0,0,0,0,0,0,0,0,1,0,0,0
@NVICLoeDown Desperate public? Or people daily bombarded by the media that they won't get their life back unless they succumb to a vaccine? There's a difference between 'desperation' and 'coercion'. https://t.co/1b1Ds9gX3E,0,1,0,0,0,0,0,0,0,0,0,0
"What's the essence of administering Pfizer/BioNTech vaccine for COVID19 if taking the vaccine will not prevent you from getting infected, spreading the virus? It's even uncertain if the vaccine will cause infertility or has long term side effects.. Something is amiss!",0,0,0,0,0,0,0,0,1,1,0,0
@trisquire @xodanix3 I don't trust a thing the US Gov. is up to (no good.) In particular the cover up of this virus being man-made and is being used as a tool to diminish the population.I'm anticipating this virus and vaccine will impact folks of color the most .Gates and Fauci are up to no good...,0,0,1,1,1,0,0,0,0,0,0,0
@ShangoKofi @RealCandaceO They usually take years to fully test and approve a vaccine. You can take this one. I'll wait. Thanks.,0,0,0,0,0,0,1,0,0,0,0,0
"Priest who took part in #Moderna vaccine dies, cause unknown(WTF?), might have had a heart attack. Three of the 15 human guinea pigs in the high-dose cohort - 250MG - reportedly suffered a ""serious adverse event"" within 43 days of receiving Moderna's jab. That’s 20%!",0,0,0,0,0,0,0,0,1,0,0,0
‘Huge privacy implications’: Florida Gov. DeSantis vows to ban ‘vaccine passports’ as Biden admin joins forces with Big Tech  https://t.co/bmXZasmBIF 🗣 Vaccine Passports are precursors to the technology imbedded into the human body: Mark if the Beast. i refuse! Kill me instead!  https://t.co/UEjnAXOeDT,0,1,0,0,1,0,0,0,0,0,0,0
@haigh_jasmina @Hettiewaynthrop @lc5190 Is he away that even a ceo at Pfizer said he wouldn’t even take the vaccine 🤔,0,0,1,0,0,0,0,0,0,0,0,0
@doctor_oxford Perhaps you could try the #vaccine on yourself first to reassure your patients as #vaccines have a nasty habit of injuring #patients https://t.co/h6NnSqei0u,0,0,0,0,0,0,0,0,1,0,0,0
"@newvisionwire Anything Chinese, I would stay away!! Fake fake fake is their middle name. And now this 🙄🙄it might be sucidal to even think that they have a vaccine",0,0,0,0,0,1,0,0,0,0,0,0
"@johntrafalgar5 @MartinKnight_ I don’t care who’s holding the syringe, I’m NEVER having the Pfizer vaccine.",0,0,0,0,0,0,0,0,0,0,0,1
"@o_rips SPIRO, Lets Share the Truth of the origin of Covid 19 and the pending MANDATORY VACCINES TOGETHER!  https://t.co/Qu6Wzstz3O  https://t.co/L08am74L3P",0,1,0,0,0,0,0,0,0,0,0,0
"@Imdragonman420 If residents at nursing homes are vaccinated, there is absolutely no reason to vaccinate the staff unless they want it. If vaccine works, then the vulnerable are protected. If it doesn’t work then @pfizer should be investigated. What in the world are U injecting people with then?",0,0,0,0,0,0,0,0,0,1,0,0
"If #Novavax has been awarded 1.6 billion, #makethevaccinefree . Everyone together, hold the government and big pharma accountable. ✊🏻✊🏿✊🏽✊🏾 Stop letting them rob us, when it’s their fault for managing this outbreak terribly, killing small businesses, and our livelihoods.",0,0,1,0,1,0,0,0,0,0,0,0
"Palachook says ""But until we have the population vaccinated there is of course the risk of community transmission."" Shame she doesnt realise there is no evidence that vaccination prevents transmission. #idiotsingovernment",0,0,0,0,0,0,0,0,1,0,0,0
"I can't believe anyone really believes we'll ever get a Covid cure. Even if we get a vaccine, do you really trust our government to secure it, distribute it, and affordably price it? Kidding yourselves.",0,0,0,0,1,0,0,0,0,0,0,0
Halt All Covid-19 Mass Vaccination Immediately (Open Letter to the WHO) — Vaccine Research Expert https://t.co/9BWWzqCecj,0,1,0,0,0,0,0,0,0,0,0,0
Coronavirus vaccine trial at Oxford University shows 'robust' immune system response https://t.co/82Anyurhaq #FoxNews this is the one with the chip people ... designed to give 'robust' immune system responses ... I would not take it LMAO!!!!,0,0,0,0,0,0,1,0,0,0,0,0
******COVID-19 VACCINE SUSPENDED FOR CAUSING BLOOD CLOTS****** COVID-19: Ireland suspends AstraZeneca vaccine https://t.co/wgBww94Lnh via @YouTube,0,0,0,0,0,0,0,0,1,0,0,0
@piersmorgan @piersmorgan my biggest issue with the vaccine is the fact that @pfizer have an abysmal track record with medicine and it’s adverse affects. Even paying off doctors in the past... how can we trust that it’s safe?,0,0,0,0,0,0,0,0,1,0,0,0
"@AmratLalwani1 @mshafiquk @PPaulCharles Sinopharm won't be trusted. So you have one vaccine. But unless you were vaxed in UK (or EU, US +17) likely that will not be allowed either",0,0,0,0,0,0,0,0,0,1,0,0
@surveyorX Don't get the vaccine. It's 99% survival rate. I have elderly patients who are surviving Covid.,1,0,0,0,0,0,0,0,0,0,0,0
@science_cited @forrestmaready I’d recommend listening to Dr. Mikovits and RFK JR on the risks of mRNA vaccines currently in development by Moderna. Even their former chief chemist said he’d never take that vaccine. It’s exactly what it’s designed to do.,0,0,0,0,0,0,0,0,1,0,0,0
@Critscan @MarkFra38596744 @damianbruced @HackBlackburn 300k+ dead from covid= no biggie 99.9999% chance to live anyway 4 with serious side effects from vaccine= NOT PUTTING POISON IN MY BODY I'M NO SHEEP,0,0,0,0,0,0,0,0,1,0,0,0
@BionicBacon If the “vaccination” works then why do people need to be segregated? If the vaccination doesn’t work then why did you dumb ass people take it in the first place? Critical thinking skills! C’mon people.,0,0,0,1,0,0,0,0,0,0,0,0
@chelsie_bain @business Your tax money is subsidizing this windfall for vaccine manufacturers.,0,0,1,0,0,0,0,0,0,0,0,0
Vaccine passports are not a good idea and further not Constitutional,0,1,0,0,0,0,0,0,0,0,0,0
@donnavivino My point is if Russia was the only country with a vaccine available I wouldn't trust them enough to take it. I also believe Trump is a long term Russian asset who was more than a bumbling bureaucrat and who had a laundry list of things Putin wanted him to accomplish to hurt us.,0,0,0,0,1,1,0,0,0,0,0,0
Woman dies from possible 'rare side effect' after receiving Pfizer vaccine https://t.co/FyClbecgcH,0,0,0,0,0,0,0,0,1,0,0,0
Phichit medic who died after booster Pfizer vaccine had underlying health issues #SootinClaimon.Com https://t.co/Bj5mfevFyX,0,0,0,0,0,0,0,0,1,0,0,0
"This is incredibly concerning. On the face of it it would appear the vaccine is the cause of their deaths but without transparency, no doubt it will continue 🤔😢#BorisJohnson #vaccine",0,0,0,0,0,0,0,0,1,0,0,0
"OOPS!!!....@guardian CDC monitors for Bell’s palsy among Pfizer vaccine recipients, sees no causal relationship  https://t.co/OrwPvBzgY9",0,0,0,0,0,0,0,0,1,0,0,0
"@carlheneghan Does the Pfizer/Biontech paper, justify treating the vaccine as the holy grail. I actually find the paper more disturbing than reassuring. Besides all limitations they say „the results are proof of concept for RNA vaccines.“ https://t.co/kDxQkMWgpF",0,0,0,0,0,0,1,0,0,0,0,0
"@moderna_tx COVID-19 vaccine conditional marketing authorization, not safe to preserve life, debauchery is not trust.",0,0,0,0,0,0,0,0,1,0,0,0
"so galit na galit ang lahat sa dengvaxia pero excited sa russian covid-19 vaccine? they skipped the 3rd phase just so they could say they developed the 1st vaccine. wake up, ginagawa tayong lab rats.",0,0,0,0,0,1,1,0,0,0,0,0
"@vonderleyen Beside this AstraZeneca is a 1,75€ vaccine based on a chimpanzee Adenovirus Vector with an efficiency of calculated 70% which is less in elderly. The chance of an Immune Escape of the new VOC makes this vaccine even more Questionable. Fighting a 🦇virus with a 🦧Virus?",0,0,0,0,0,0,0,0,0,1,0,0
@Topoke @NPR Or just carry on exactly as before because clearly there is no problem. If it ain't broke why fix it? How many out of *zero* covid cases can a vaccine possibly help with?,1,0,0,0,0,0,0,0,0,0,0,0
#IndiaFightsCorona Oxford AstraZeneca Vax FACTS SHARE WIDELY Those promoting the vax have loud voices & big money to hide the truth from you So there needs to be some effort in amplifying the voices of those who expose the truth. The entire thread is backed up with proof 👇🙏,0,0,1,0,0,0,0,0,0,0,0,0
@thedailybeast Frankly I'd rather they not get vaccinated. #ByeFelicia  https://t.co/zJlOBHloMJ,0,0,0,0,0,0,0,0,0,0,0,1
I’m seriously worried about this. The phase 1 and 2 trials are done on such small number of volunteers that one cannot recommend a drug or vaccine based on them. Why India is doing this?? #Covaxin,0,0,0,0,0,0,1,0,0,0,0,0
"@realDonaldTrump @SteveFDA They just want to keep people from dying from bad drugs and vaccines, something you don't care about. You have hundreds of thousands of deaths on your hands, not just COVID-19 - soldiers killed for Russian bounties, Kurds betrayed to fascist Erdogan,.... #BidenHarris2020Landslide",0,0,0,0,0,0,0,0,1,0,0,0
"@MsSmartyPanda I'm not anti vax generally... But... The flu vaccine is just a giant waste of money, that's causing the virus to mutate faster.",0,0,0,0,0,0,0,0,1,0,0,0
"CLINTON APOLOGIZES FOR EXPERIMENTING ON U.S CITIZENS AND MILITARY WITHOUT THEIR CONSENT AND IN SECRET!! WHY DO YOU THINK IT WOULD BE DIFFERENT WITH THIS HARDLY TESTED, SPIKED WITH DNA-CHANGING CELLS A.S.O. ''COVID-VACCINE''???????",0,0,0,1,1,0,1,0,0,0,0,0
@AskeladdenTX He’s walking back the recent claims of vaccine effectiveness. Seems it will mainly be to reduce symptoms not infections. That’s the situation now. Almost all people who’ve contracted Covid are low- or non-symptomatic. Expect calls for the counter-measures indefinitely.,0,0,0,0,0,0,0,0,1,1,0,0
"NO WAY! If true this is utterly outrageous. #Pfizer has an unbelievable criminal track record why would they get ""indemnity"" in case they sell yet another flawed medicine? People need to wake up and soon!!! #COVIDー19 #vaccination https://t.co/AkD1EcDYty",0,0,1,0,0,0,0,0,0,0,0,0
"Ugh- No thank you! 🚫🤮 A volunteer in a key coronavirus vaccine trial has revealed that it left him the sickest he has ever been in his life Moderna coronavirus vaccine tester fainted, had high fever during trial https://t.co/Q0wavKvEVk",0,0,0,0,0,0,0,0,1,0,0,0
"@DocEmRu @ChrisJohnsonMD Not the Holocaust, it's the rape/vaccine-induced viral apocalypse via the coronavirus from #Wuhan. See: https://t.co/xFVEtMUdOl",0,0,0,1,0,0,0,0,0,0,0,0
"@TinTopsuk @Engineer4Health @Anti_retro_tax @AndyBird21 Yes, but we don't lock the country down for flu do we. I'm led to believe the 'R' rate is a significant factor in us being in lockdown, if you can still transmit it post vaccination, how will that change?",0,0,0,0,0,0,0,0,0,1,0,0
"@neontaster @AlexBerenson Has been reporting straight-up facts since the beginning, no matter how inconvenient to anyone's narrative. When a report came out saying there were no excess deaths this year from Covid, he was one of the first to debunk it. The vaccine does have side effects...",0,0,0,0,0,0,0,0,1,0,0,0
