ID,Tweet,Label1,Label2,Label3
1.34039E+18,"@phatrick1 @christianllamar @RSBNetwork Another oops, nothing wrong with pumping polyethylene glycol into your arm is there? The Food and Drug Administration (FDA) is investigating allergic reactions to the Pfizer coronavirus vaccine that were reported in multiple states after it began to be administered this week.",side-effect,,
1.33619E+18,"@KarnikAmbar @adarpoonawalla @SerumInstIndia @narendramodi Yes no one is forcing. But India is tet to order Pfizer doses. Now everyone wants it and the government is saying ""Shut up and take this 60% effective vaccine""",mandatory,ineffective,
1.42175E+18,... also concerned about an upcoming 🇻🇳 alum-adjuvanted whole-inactivated virion vaccine. Covaxin should be OK as they use a better adjuvant. Although it can't be 💯 ruled out I think this is very low risk for mRNA/vector. We would have seen it by now. The best recent paper...,ingredients,,
1.29978E+18,@jgownder What if we fast track a vaccine and ignore safety standards and at risk people can’t ever take it and less than half of eligible people do because trust is broken? I’m pretty sure I’m never going to be able to see other humans without a mask up close ever again.,rushed,,
1.37501E+18,A vaccine passport to go to the pub? Piss off! How many more liberties are going to be taken away? It’s another stupid idea that hasn’t been thought through. Fucking draconian!!,mandatory,,
1.26285E+18,@BogochIsaac @HelenBranswell Does Moderna publish their results in scientific journals? After peer review? I can’t find much data on these „spectacular“ vaccines.,rushed,,
1.25584E+18,"They are planning to use Nigerians as lab rat. Why force a vaccine that hasn't been tested on us, vaccine we don't know it effect. Why make a law. Has the vaccine been tested in the country of its origin? #StoptheNCDCBill",mandatory,rushed,
1.35244E+18,Johnson and Johnson couldn’t get baby powder right but they wanna do a Covid vaccine... https://t.co/QCwYx65G9m,pharma,,
1.33637E+18,@JHowardBrainMD @kimmaicutler Still bizarre that the administration is banking on doses from unproven vaccines... maybe they’ll save us but they certainly could have gone with the proven option from Pfizer,rushed,,
1.43599E+18,"• European Medicines Agency lists neurological disorder Guillain-Barre syndrome, which can cause temporary paralysis, as 'very rare' side effect of AstraZeneca Covid-19 vaccine https://t.co/G30yIFgWm2",side-effect,,
1.37501E+18,"Insisting on a 'vaccine' that many people do not NEED will make much more PROFIT than a treatment for the 1% of people who might need one or a preventative supplement. Create a pandemic, sell the 'cure'. +99% of people will recover & build natural immunity. #Vaccine #Ivermectin",conspiracy,pharma,unnecessary
1.2879E+18,@MrBOTUS_520 I honestly don’t think a covid vaccine will be rolled out for school kids by Oct/Nov. And wouldn’t a vac authorized for use on children need to be tested on school age children first? Covid vaccines have the potential to provoke #ADE & the perps know it. https://t.co/kz2dcvtmJR,side-effect,rushed,
1.37518E+18,"@WilloWispish I’ve had vaccinated people saying they hope I become ill, and I’m selfish because I’ve declined the jab! The insults seem to be coming from both sides.",side-effect,,
1.25433E+18,"@LandNoli Vaccine are useless all of them It's compromise ur system make u weak & easy prey for many diseases.  My children were only vaccinated once after being born I never followed up with the vaccination calendar, never been hospitalized with my children. They eat healthy & are healthy",unnecessary,side-effect,
1.3171E+18,"@rvh15374957 @Real___Eric @AlbertBourla @ScottGottliebMD @pfizer So we're talking about protection of disease not infection...great... I'm wondering about efficacy, I mean participants are supposed to wear masks etc after getting the vaccine....omg",ineffective,,
1.3363E+18,"@EmergMedDr According to Pfizer, the trials will be ongoing even 24months from now. https://t.co/3cx7ItKcmR An untested vaccine, with a never ever before tried vaccine technology. Being tested live on people. While the manufacturers have indemnity...",rushed,,
1.34393E+18,"My choice to do things based on my beliefs are my own. It's my way to achieve closeness with God. I figure this world, especially our time here is fleeting...and eternity is a long time to be wrong. Anything that has Lucifer's name & number on it is not going in me. #CovidVaccine",religious,,
1.33529E+18,@WealthyBhai @ghouse_hyd @BharatBiotech Yes it's not clear that the minister actually did receive the vaccine or just the placebo the trials are made so that they can distinguish between the people who aren't vaccinated with people who are BUT I have no confidence in this now I want any international vaccine for india!,country,,
1.37579E+18,"The French National Agency for the Safety of Medicines (ANSM) confirms #AstraZeneca #vaccine induced Prothrombotic Immune Thrombocytopenia (VIPIT): 9 cases out of 1.4 million vaccination, 7 patients under 55 years and 2 patients over 55 years👇 https://t.co/j5E36KOgmJ",side-effect,,
1.33765E+18,"@realDonaldTrump Kinda feel like, some of these companies,. some people., maybe are setting you up. Idk. But there’s tons of doctors speaking out &warning about some of these vaccines... Pfizer doesn’t have the best reputation. Not trying to make things difficult. But definitely worrisome.",side-effect,pharma,
1.36615E+18,@ashishkjha Given long-haulers I know I can say that this vaccine will not allow me to leave home.  I mean I will eventually - I'm sure the healthcare I'm postponing will become emergent eventually.,ineffective,,
1.41035E+18,Time has come to switch to non genetic vaccine as Novavax one ‼ mRNA/DNA vaccines will survive only by bigpharma lobbying ‼ #vaccination #covid19,pharma,,
1.34635E+18,No informed consent taken! Everything about Covaxin STINKS. Now attempting to turn this into a 'nationalistic' issue with crap about criticism linked to 'tukde tukde gang'! Defies belief. International scientific community needs to shit on these thugs and ban this vaccine.,political,,
1.3643E+18,"I really wish that people with blue ticks would stop peddling 'the vaccine'. Its NOT a vaccine, the 'jab' is a gene therapy trial which concludes on 31/01/23 - hence the continued lockdowns!",rushed,,
1.37506E+18,"@njones4971 @Brian57118684 @YouTubeSucks__ @BorisJohnson Also, pretty sure aids kills more people yet we dont have a vaccine etc for that. Go figure",unnecessary,,
1.40802E+18,"""The Pfizer coronavirus vaccine has been linked to an increased chance of developing thrombotic thrombocytopenic purpura (TTP), a rare blood disorder, Israeli researchers said Monday."" https://t.co/BltKVq5PH6 https://t.co/h8fwcpMYQ3",side-effect,,
1.36454E+18,"@CP24 The kids are anxious becuase they have been locked at home.   They miss activities, like sports, dance and music.  Childhood is being stolen.  To ""Save"" some 80+ year olds.  And now they are vaccinated.  Declare this over. End the lockdowns now.",none,,
1.31245E+18,Coronavirus: Utah man joined Moderna’s COVID-19 vaccine phase three trial - Deseret News https://t.co/AIOJZSguaX Sounds like shot will cause symptoms that will kill some right away.,side-effect,,
1.35451E+18,"@VP Please get this vaccine straightened out, selfish I know but my wife is on her second battle of cancer in NJ and we are not going to try to 1st shot knowing we can't b guaranteed a 2nd shot. Also, the pic looks like a Beatles Album cover...where's Paul? Lol",none,,
1.37713E+18,"@AshaRangappa_ I've not had the jab, don't wear a mask and work in close proximity to 50 odd folk a day.. Heard a few stories of folk who'd ""been bad"" with it but apart from that it's been life as normal.. Remember, if its a vaccine you should be OK.. If not its not a vaccine",ineffective,,
1.39856E+18,"@THankock @somuchbullsh @blanketcrap Re Pfizer, in addition to the usual Pain Redness Swelling Tiredness Headache Muscle pain Chills Fever Nausea, CDC has received increased reports of myocarditis and pericarditis in adolescents and young adults after COVID-19 vaccination https://t.co/zUox8ourOV",side-effect,,
1.36976E+18,Healthy 39-yo mom dies four days after 2nd dose of Covid-19 vaccine https://t.co/OyhJtvkHGu,side-effect,,
1.37579E+18,"@Rachelreenstra Eat well, stay active, breath fresh air, don’t medicate especially vaccines and pharmaceuticals, be social with family and friends, have fun. I’ve done this and people always say I look 20 years younger. My kids have never been vaccinated and are the healthiest kids on our street",unnecessary,,
1.36599E+18,The rumours about vaccines are true... I had the Pfizer vaccine and now I have erectile disfunction!!! https://t.co/emKtZZJ0Zp,side-effect,,
1.33657E+18,@rupert_pearse I have no issues over safety. I just don't believe the oxford vaccine offers the degree of protection I need to get back to some sort of normality by Easter. Can you reassure me? It's an important question.,ineffective,,
1.33411E+18,@Telegraph Of course #MHRA APPROVED the new @pfizer #vaccine & will approve ALL the others! MHRA are NOT independent. Did anyone expect anything else? No 💉 in history has ever been so rushed thru w such little testing. Where are the test results & SAFTY data? What could possibly go wrong?,rushed,,
1.40787E+18,"@IrknessAft @SenRonJohnson @Facebook So you are saying that no one has died because of a COVID-19 vaccine or had debilitating side-effects? How would you know that? Show me the study that proves that. The issue is not vaccines good, or bad. It is what adverse events happened and why. So people can decide.",side-effect,,
1.25536E+18,Then why vaccine people forcefully globally as some richest yet selfish and greedy of greediest rich suggest? No vaccine.,mandatory,,
1.29184E+18,"@LanternBlue2 @drsimonegold MSM, PHARMA, CDC, even FDA are endorsing a vaccine while censoring positive information regarding Hydroxychloroquine results treating patients. I’ll pass on this vaccine.  Too  much censorship makes me believe that Hydroxychloroquine is the best available treatment for COVID-19",pharma,unnecessary,
1.33236E+18,BREAKING! COVID-19 Scams: Revelations Of AstraZeneca Manufacturing Error Puts Vaccine Study Results Into Serious Doubts - Thailand Medical News https://t.co/ABxPmidN2X,rushed,pharma,
1.37664E+18,"@ColinDMello I do not feel comfortable with Astra Zeneca anymore either. I can't stand Ford but, this vaccine has had one problem after another.",side-effect,,
1.32835E+18,"🤨Alex Azar: ""Moderna's coronavirus vaccine candidate is more flexible because it can be kept in regular freezer refrigeration."" Now ask yourself which of the two vaccines is tied more to Trump and his administration? One of the reasons I'm not rushing to take a vaccine!",political,,
1.32256E+18,"@JoeBiden From a Culture Wars article on COVID-19: “...All of the scientific medical data concerning COVID-19 pandemic proves that it is a huge global geopolitical hoax, w/ at least 2 main immediate goals: control & the reduction of the world population & the huge vaccine biz”.",conspiracy,pharma,
1.41363E+18,"@sailorrooscout US told Pfizer: We won't by a booster for Delta Europe did too: European Medicines Agency also said it was too early to determine whether more shots are currently required, It was confident for now that the two doses were sufficient. https://t.co/4gTK6p6LI3",none,,
1.40602E+18,"One wonders how many Palestinians know that they'll be volunteering to take an ""investigational vaccine"" @US_FDA as yet ""unapproved and unlicensed"" @US_FDA @pfizer AND which Big Pharma has ZERO liability for?🤔 https://t.co/YfdRPfBOLj",rushed,,
1.26239E+18,@moderna_tx You can KEEP it! No interest in being forced to take this new Poison 😠,mandatory,ingredients,
1.37427E+18,How many care home workers have refused the vaccine because they’ve already had CV-19 & thus have some natural immunity? How many are 18-40 & thus less vulnerable?  How many more times will MPs let a small cabal of Ministers + the PM drag our country into a totalitarian state?,ineffective,political,
1.24812E+18,We didn't learn about covid 19 till the end of January. How can J & J already be working on a vaccine in January????????????????,pharma,,
1.36063E+18,@FortySixAnd2wo So this means we no longer have to worry about the flu. as the Covid-19 eradicated it? Dang who knew the flu had a cure & it wasn't the flu vaccine. 🙄,ineffective,,
1.3554E+18,"#VAERS #PfizerVaccine #Cardiacarrest #Cardiology ""died the day after receiving the first injection of vaccine against Covid-19 in suspected cardiac arrest;"" https://t.co/YdEMVfJuYi",side-effect,,
1.35453E+18,I was really not gonna get the vaccine but this man might be on to something,none,,
1.36292E+18,"Search Results from the #VAERS Database 95 y.o. ♂️ #modernavaccine #Vaccinedeaths ""Write-up: Patient became immobile on 1/25/21 (4 days after receiving Moderna COVID-19 vaccine). He died on 1/27/21"" https://t.co/4rpGgKyOXH",side-effect,,
1.31844E+18,"@ChrisHo57357908 This is not a standard vaccine. The Pfizer vaccine is an experimental RNA vaccine, never before trialed on humans. The stuff I write horror about. 😬",rushed,,
1.34323E+18,You mean #Lyft will transport millions to #CovidVaccine adverse effects and death. https://t.co/QUN3ABg2CA,side-effect,,
1.30107E+18,"@shinelamont @TechDaddy @cnnbrk Because it’s dumb as rocks. So you’ve bought the Oxford vaccine. You vaccinate all your people. The virus is still out there ready to re enter the US when the vaccine loses effectiveness, ready to mutate so the vaccine doesn’t work. The vaccine needs to hammer this virus quick",ineffective,,
1.3014E+18,@naukarshah Please listen to JFK nephew Robert kenedy's warning on upcoming mandatory vaccine of covid 19. He says elites are going to use it for depopulation especially of 3rd world countries like ours. We should think why all the elites & officials are hellbent on mandating this vaccine?,mandatory,,
1.22216E+18,"@va_shiva https://t.co/G2Sut3wMje ""further investigation is clearly justified"" Where is the investigation? ""98 million persons exposed to contaminated polio vaccine in the U.S from 1955 through 1961"" .",ingredients,,
1.32235E+18,"@FinancialReview J and J vaccine, that's one I wouldn't touch. Remember the De Puy hip replacement disgrace",none,,
1.3527E+18,he did not die of COVID but complications related to the vaccine. And that’s why we need to be careful. Con mucho cuidado mami ⚾️,side-effect,,
1.32303E+18,@PFoster68 There is so much money invested in vaccines.....Astra Zeneca to name but a few.....so much at stake. If the virus infection rate drops they know there will be no need for a vaccine. So they have keep up the fear......,pharma,,
1.39951E+18,"""South Korea has recorded its first case of blood clotting linked to the AstraZeneca Covid-19 vaccine, with one man being hospitalized."" ""...has been linked to a number of cases of potentially fatal blood clotting in all around the world, with deaths..."" https://t.co/rwOcbwTQlg",side-effect,,
1.33767E+18,"Typical of San Diego, even Society These days. And if it were ""perfectly safe"" people with some allergies wouldn't be told to beware or not take it. and it would be 100% effective and it's not.  San Diego doctor says COVID-19 vaccine is 'perfectly safe'  https://t.co/da0fxgcCzi",ineffective,side-effect,
1.33345E+18,@yashar Y’all are just going to line up to get a vaccine whose long term effects are still unknown? Really? I don’t even give my cat vaccines that haven’t been researched long term.,side-effect,,
1.36541E+18,@LaurenPelley @JustinTrudeau @liberal_party So Canada is now getting the worst performing Vaccine in the world ! #AstraZeneca This is embarrassing ! They should only give this to people under 25 ! No way effective for People over 40 ! https://t.co/bhLwNTDLD7,ineffective,,
1.32586E+18,"@LearnThinkVote @WeTheP3pe @wagefreedom @realDonaldTrump Pfizer waited to after the election to announce their vaccine, pretty political move and should serve as a warning about their intentions. Here's a hint: Pfizer isn't working for your best interest.",political,pharma,
1.35499E+18,@anthonyfurey I don't want my grandkids to get vaccinated until we have more data on their long term health effects. Think people.,unnecessary,rushed,
1.31606E+18,This is why it takes long time to make safe vaccine. Johnson & Johnson pauses covid-19 vaccine study for ‘unexplained illness’ This is SECOND TIME in just a few weeks that a big potential vaccine trial had to shut down bc it caused unexplained illness https://t.co/EYfGmKDQpy,side-effect,,
1.42714E+18,"#VAERS #Pediatrics #Vaccinedeaths 13y♂️died #Moderna #CovidVaccine ""Write-up: Died three days after vaccine; 13 year old boy dies three days after the Moderna vaccine;"" https://t.co/5WSsD21Czf",side-effect,,
1.37451E+18,@krishgm Of course I’m not saying that investing in the vaccine wasn’t a good idea. It self evidently was. But to prioritise it as the principal solution without also investing in public health has led to a far far worse outcome.,political,,
1.35543E+18,@afneil Why are they so desperate to get hold of a vaccine they think doesn't work? 🤷‍♂️🤦‍♂️,ineffective,,
1.35521E+18,@ABC Fuck a Johnson & Johnson vaccine. Their vaccines probably give you cancer like their baby powder did.,side-effect,pharma,
1.37361E+18,@ang__johnson Refused mine saying there is no polite way to tell them to stick the vaccine where the sun doesn’t shine,mandatory,,
1.4277E+18,"@WCVB ROFL as the vaccinated spread the virus. Because I can't get the vaccine, my daughter got Pfizer to protect me. Pfizer is 42% effective against Delta. Do I feel safe? You bet I don't. Let me know when there is a vaccine that prevents transmission to others. A REAL VACCINE.",ineffective,,
1.31386E+18,@Pfizer_UK Do you bother to check the blood group of the aborted fetol cells that you use?? Because negative blood groups receiving positive cells will cause massive auto immune/rejection issues 🧐,ingredients,side-effect,
1.41144E+18,Probe launched after Ukrainian man loses consciousness & dies just four hours after taking first dose of Pfizer Covid-19 vaccine — RT Russia & Former Soviet Union https://t.co/lyZbF9nc5C,side-effect,,
1.2946E+18,As someone who is usually pro vaccine... Why the fuck would I trust a covid-19 vaccine that is rushed through to save capitalism more than to save people. I need evidence it's semi safe 🤷🏼‍♀️,rushed,side-effect,
1.35411E+18,Widow says her healthy 56 year-old husband died from Pfizer’s vaccine https://t.co/MjekJ6KScg,side-effect,,
1.35343E+18,@DrPsyBuffy @viletwiddles I live in Cumberland Cty and work in Coles Cty. Neither is offering the vaccine for higher ed and have just started offering for K12. My oldest is a police officer and hasn't been vaccinated yet either. I'm praying the rollout ramps up quickly.,none,,
1.34993E+18,"@punkstrupet @MarkReady47 @AndyBird21 And vice versa, how many died because of the vaccine and who could have beaten covid?? Or possibly never have caught it...",side-effect,,
1.22296E+18,@CasparKashkin @People1stPlanet No they are not. The vaccine isn’t suitable for under 6 months do deffo not suitable for unborn.... it’s not been tested on unborn babies or pregnant mums either. Stuff like this is dangerous.,rushed,ineffective,
1.33671E+18,"People with serious allergies told to avoid Pfizer vaccine after two rea... https://t.co/l1aQdNaVbM via @YouTube Tam-Tam just confirms, we are lab rats",side-effect,,
1.3033E+18,"The Pfizer CEO has repeatedly promised they’ll have enough data to support filing for approval of their vaccine by the end of October. Turns out this is based on modeled assumptions rather than actual infection rate. I remain pretty skeptical this will happen, but we’ll see.",pharma,,
1.32151E+18,"@LewisaTheGreat Wow forced vaccination to become a legal slave, they really have us by the balls",mandatory,,
1.39255E+18,"Future of AstraZeneca COVID-19 vaccine in question in Canada over blood clots, supply issues | CBC News https://t.co/x4ICdrESs3 trudeau said take what your given and every day we hear horror stories about vaccine . should we hold this dictator wannabe nutjob accountable ?",side-effect,,
1.35018E+18,Miriam Margolyes calls Boris Johnson ‘clown’ and anti-vaxxers ‘nuts’ on Good Morning Britain https://t.co/QLIB0Gvl1K What if we told this gaslighting Leftard that mRNA is NOT a vaccine but an operational agent? There is not a shade of weakened pathogen in the liquid you receive,political,,
1.35527E+18,If you actually survive the vaccine that is.  https://t.co/iNhrgQIteN,side-effect,,
1.29722E+18,@GovRonDeSantis It is time to end this Covid nonsense. They are testing and calling any covid positive Covid - 19 positive. Then they call it a case. This needs to stop and we need to open up and people will catch it like they do the flu. Herd immunity is the answer. No vaccine taker here.,unnecessary,,
1.35336E+18,"Leave them to their Fate..mRNA #Moderna 'software of life' DARPA-Funded Biochip To ‘Save’ Us From COVID-19? Once firmly implanted inside the body, human cells are at the mercy of any #mRNA program delivered via this substrate, unleashing a nightmare of possibilities.",conspiracy,ingredients,
1.35372E+18,"@v_j_freeman @harveybotblue @Davejackson9876 @EmmaKennedy Can you show me ""all"" the evidence that the Pfizer vaccine is still effective after 12 weeks? I'm open to persuasion, if you have evidence.",ineffective,,
1.37178E+18,"@ClarkeMicah @Bonsai_Bill Hitchens is unable to grasp that people can be pro vaccine but also have legitimate concerns about covid specific vaccines, which are not allowed to be discussed.",side-effect,,
1.37551E+18,"68-Year-Old Woman Dies After Receiving COVID-19 Vaccine: Family A 68-year-old woman from Kansas died a day after having a reaction to a COVID-19 vaccine, according to family members. https://t.co/1sJyPqXXCA",side-effect,,
1.3751E+18,@JonahB90 @AvfcDan1982 @Fredammundo @gavan1734 @HelenKiddle @BoerboelBritish Swine flu vaccine caused damage four years later. Have fun being a Guinea pig. That’s is your right just like my right to decide over my body.,side-effect,,
1.32628E+18,"@WorthyWomen1 @katherineefoley @pfizer Yo the flu vaccine is only 40 to 60% effective, after a half century trying to cure it. F Pfizer, Fauci, Gates, Trump & Biddyboy...",ineffective,,
1.26199E+18,"COVID-19 is not a natural virus. It is man made with sections of other virii in its RNA. Including H1N1. ""Survival of the fittest"" means those that adapt best, survive. ""Strength"" has nothing to do with it. Dont assume a vaccine is the answer. Research the SARS vaccine history.",side-effect,,
1.3658E+18,"I feel the need to say my husband, who is three years off 60, and is a policeman, has not yet had the vaccine and we are very chilled about this fact. It comes when it comes. #patience",none,,
1.34908E+18,UK Nurse Tests Positive for #CCPVirus After Second Dose of Pfizer Vaccine Canceled Via ⁦@EpochTimes⁩ https://t.co/Q2R1lEX0IQ,ineffective,,
1.33339E+18,I meant a wonder vaccine has just been discovered? Why the hell is the NHS spending our money in celebrities to convince you to take a vaccine you should already want to take?,country,,
1.43866E+18,"major vaccine makers (save Moderna) have paid out tens of billions of dollars in damages for other products they brought to market when they knew those products would cause injuries and death--see Vioxx, Bextra, Celebrex, Thalidomide and opioids as a few examples. -",side-effect,,
1.33956E+18,@DrBenTapper1 @and_kell @dr What was the health status of the 6 people who died after receiving the corona virus vaccine? Can it be determined if vaccination was the primary cause of death? We need more widespread use of metabolomics to investigate differences in vulnerability to vaccines & illnesses.,rushed,,
1.28809E+18,Question of the day: why is it safer to take an unproven vaccine that alters your genetic make up or an antiviral that has major side effects rather than take a drug with a minute side effect profile that has been in use for over 50 years?,rushed,side-effect,
1.3326E+18,@BorisJohnson @MattHancock @uksciencechief @CMO_England WELL why did China recover WITHOUT a vaccine 🤬🤬🤬🤬,unnecessary,,
1.37753E+18,"@callapygian @Therese_Rein @BridgetOFlynn @yowietomas874 he must be mate with Pfizer and Astra, they don't hold any responsibility for any side effects or even death after vaccine, that is why we need to sign a consent form before vaccine. COVID-19 vaccination – Consent form for COVID-19 vaccination A patient consent form for COVID-19",side-effect,,
1.25269E+18,@Lydia_Guthrie @MartinSLewis @MattHancock So does it mean you already have covid 19 to get them to see if they have a vaccine or will you have the Covid19 put into your body and they have to try and get rid of it. If the vaccine doesn't work then are they going to save your life if you end up on a ventilator.,ineffective,,
1.34469E+18,"Just say ""WE DON'T KNOW."" ""no proof"" ""no evidence"" ""no link"" ""no connection"" This is the part of the show where they play both ends. #Pfizer #Vaccine #VaccinePolitics Swiss drugs regulator says no link between #COVID19vaccine, death of 91-year-old https://t.co/uFxHYrx0Dp",pharma,side-effect,political
1.34121E+18,"@SwordOfStories @660NEWS None of the examples you cited involve a risk of anaphylactic shock, Bell’s Palsy, or an extreme allergic reaction. The Pfizer ‘vaccine’ is responsible for all three. I wouldn’t want to be forced to choose between those and not being employed, would you?",side-effect,,
1.36583E+18,"@lookner Is it true none of the vaccinations prevent you from contracting or spreading the virus, only helps reduce deadliness? If so, why are people talking about reducing spread by getting vaccinated. Confusing.",ineffective,,
1.26432E+18,"@Mimi__ZA @Lungah__ @Politicsweb They infected us with HIV, they sold us pills that doesn't cure it. They brought Corona, they are planning to sell us vaccine.",pharma,,
1.28776E+18,@danielsgoldman @2cannan1 Anybody who will accept a vaccination from the Gestapo pretty much will get what it deserves.,none,,
1.24896E+18,woh is all a deception covid-19 hoax fake virus assholes we know that viruses are not a living thing it's in your poison vaccines asshole we don't get fooled by satan lucifer baal molech saturnian brotherhood sick bastards psychopathspedophiles,side-effect,,
1.35564E+18,"@BrutallyAverage @doctor_oxford I know. Imagine all those that died of the vaccine, and all they talk about is underlying issues. This is just from this week from CDCs reporting system https://t.co/bUsdwcSGcF",side-effect,,
1.27352E+18,"Why is Moderna Inc. being awarded $483 million to develop a ""GENE EDITING"" vaccine? Would you give this vaccine to your kids? PLEASE - PLEASE - PLEASE give us ""Medical Freedom"" in your 2020 platform. @realDonaldTrump @POTUS @VP @DonaldJTrumpJr @FLOTUS @IvankaTrump",mandatory,,
1.39418E+18,"@leehazlewoodism @MMozolowski @Egut3 @jcm247 Here in India, many people are declining Covid vaccination, not least because of the adverse effects we are seeing. A friend's relative, who became unwell right after the Covishield vax, just died. A large number of adverse reactions aren't reported. Many Covid cases after vax.",side-effect,,
1.3786E+18,"@2ndMLG @USMC @USMCSgtMaj @iimefmarines @jtfcs @USArmyNorth @USMarineCorps THERE is no informed consent, not informed of adverse effects. Stop coercing our people into taking a dangerous experimental gene altering therapy not preventing covid. It is NOT A VACCINE. STOP THE LIES it is a violation of the NUREMBERG CODES to use experiment on popula.",rushed,mandatory,side-effect
1.33356E+18,#Moderna #vaccine causes Fatigue as they themselves have reported. They have no idea how severe this Fatigue may turn out to be or for how long the Fatigue will persist What if you are inflicted with chronic Fatigue that turns out to be worse than the #COVID19 itself! https://t.co/tBe6v5EhD9,side-effect,,
1.30315E+18,@GregHuntMP A vaccine that hasn’t even been formulated much like the Covid App that is 100% useless - this is just political spin 🤮🤮🤮,political,,
1.34474E+18,"@DrZoeHyde Not if UK Govt has anything to do with it. Rescheduling vaccine 2nd dosage WILL lead to vaccine resistant strains. B117 proves multiple mutations possible to evade human immune response. With efficacy of 50% at most for Pfizer BioNTech vaccine, not following science v. dangerous",side-effect,ineffective,
1.29333E+18,@KristoferA @cstross @thegrugq The first two corona vaccines made the diseases worse. This needs to be throughly tested.,side-effect,rushed,
1.335E+18,"@GrahamNeary https://t.co/HQJF52orOk .@POTUS “Moderna vaccine is not morally produced. Unborn children died in abortions and then their bodies were used as ‘laboratory specimens’. I urge all who believe in the sanctity of life to reject a vaccine which has been produced immorally,” he said.",side-effect,,
